feature_1,feature_2,value,absolute_value,method,class
ma1,ma2,0.9993665770603133,0.9993665770603133,spearman,0
ma2,ma3,0.9989268052461349,0.9989268052461349,spearman,0
ma1,ma3,0.9981125458995438,0.9981125458995438,spearman,0
ma3,ma4,0.9972154686407447,0.9972154686407447,spearman,0
ma2,ma4,0.9956727803131333,0.9956727803131333,spearman,0
ma1,ma4,0.9948736449544788,0.9948736449544788,spearman,0
ma4,ma5,0.9945643345593567,0.9945643345593567,spearman,0
ma3,ma5,0.9915394470908181,0.9915394470908181,spearman,0
ma2,ma5,0.9895425765468167,0.9895425765468167,spearman,0
ma1,ma5,0.988481185393023,0.988481185393023,spearman,0
ma5,ma6,0.9805256377066187,0.9805256377066187,spearman,0
ma4,ma6,0.9739923616439413,0.9739923616439413,spearman,0
ma3,ma6,0.9693396717662658,0.9693396717662658,spearman,0
ma2,ma6,0.9672357601080217,0.9672357601080217,spearman,0
ma1,ma6,0.9666547670264867,0.9666547670264867,spearman,0
exudate2,exudate3,0.9286508690910601,0.9286508690910601,spearman,0
exudate7,exudate8,0.8855193060335558,0.8855193060335558,spearman,0
exudate1,exudate3,0.8608926154316416,0.8608926154316416,spearman,0
exudate1,exudate2,0.8441203805414005,0.8441203805414005,spearman,0
exudate5,exudate6,0.7622630254059428,0.7622630254059428,spearman,0
exudate6,exudate7,0.7476450204144167,0.7476450204144167,spearman,0
exudate3,exudate5,0.6406095223860159,0.6406095223860159,spearman,0
exudate6,exudate8,0.6241894453528084,0.6241894453528084,spearman,0
exudate2,exudate5,0.5493174686354195,0.5493174686354195,spearman,0
exudate3,exudate6,0.4960779000129034,0.4960779000129034,spearman,0
exudate5,exudate7,0.4954945560440813,0.4954945560440813,spearman,0
ma5,am_fm_classification,-0.47801150245691254,0.47801150245691254,spearman,0
ma4,am_fm_classification,-0.4763714316298517,0.4763714316298517,spearman,0
ma6,am_fm_classification,-0.47554872062247594,0.47554872062247594,spearman,0
ma3,am_fm_classification,-0.47360490835483177,0.47360490835483177,spearman,0
ma2,am_fm_classification,-0.47247437275160836,0.47247437275160836,spearman,0
ma1,am_fm_classification,-0.4709465750791229,0.4709465750791229,spearman,0
exudate1,exudate5,0.4262971849549075,0.4262971849549075,spearman,0
exudate2,exudate6,0.4247493715885122,0.4247493715885122,spearman,0
ma6,exudate1,-0.4031005251095943,0.4031005251095943,spearman,0
ma5,exudate1,-0.3944085117851877,0.3944085117851877,spearman,0
ma3,exudate1,-0.38216658712509544,0.38216658712509544,spearman,0
ma4,exudate1,-0.3814495730508113,0.3814495730508113,spearman,0
ma1,exudate1,-0.37842282852624437,0.37842282852624437,spearman,0
ma2,exudate1,-0.3772438403680187,0.3772438403680187,spearman,0
exudate5,exudate8,0.37550118378200587,0.37550118378200587,spearman,0
exudate1,exudate6,0.3731274139456744,0.3731274139456744,spearman,0
exudate3,exudate7,0.364791828663644,0.364791828663644,spearman,0
exudate1,am_fm_classification,0.3396769330629388,0.3396769330629388,spearman,0
exudate2,exudate7,0.3340781582493077,0.3340781582493077,spearman,0
exudate1,exudate7,0.31975554863291916,0.31975554863291916,spearman,0
exudate3,exudate8,0.3141185979469594,0.3141185979469594,spearman,0
exudate2,exudate8,0.3033973090409965,0.3033973090409965,spearman,0
exudate1,exudate8,0.30264500786482357,0.30264500786482357,spearman,0
exudate8,am_fm_classification,0.2411015791075496,0.2411015791075496,spearman,0
exudate2,am_fm_classification,0.20112732583096699,0.20112732583096699,spearman,0
exudate3,am_fm_classification,0.20011244131125785,0.20011244131125785,spearman,0
exudate6,am_fm_classification,0.19139385230344017,0.19139385230344017,spearman,0
exudate7,am_fm_classification,0.1886076769058387,0.1886076769058387,spearman,0
macula_opticdisc_distance,opticdisc_diameter,-0.1836778640947159,0.1836778640947159,spearman,0
exudate1,opticdisc_diameter,-0.17360843992297148,0.17360843992297148,spearman,0
exudate3,opticdisc_diameter,-0.17295596887522519,0.17295596887522519,spearman,0
quality,exudate1,0.16589371174894374,0.16589371174894374,spearman,0
quality,exudate2,0.1649247064233074,0.1649247064233074,spearman,0
ma1,exudate5,0.16476886503004692,0.16476886503004692,spearman,0
ma2,exudate5,0.16261967069549738,0.16261967069549738,spearman,0
quality,exudate3,0.16221182953226196,0.16221182953226196,spearman,0
ma3,exudate5,0.15472270937632973,0.15472270937632973,spearman,0
ma6,exudate2,-0.15332906418157058,0.15332906418157058,spearman,0
ma4,exudate5,0.14953273293354882,0.14953273293354882,spearman,0
pre_screening,opticdisc_diameter,-0.1451972535401503,0.1451972535401503,spearman,0
ma5,exudate2,-0.13812551453979222,0.13812551453979222,spearman,0
exudate2,macula_opticdisc_distance,-0.13441926212787755,0.13441926212787755,spearman,0
ma5,exudate5,0.13345825770607544,0.13345825770607544,spearman,0
exudate1,macula_opticdisc_distance,-0.13334802923363012,0.13334802923363012,spearman,0
ma6,exudate8,-0.13064009324994147,0.13064009324994147,spearman,0
ma5,exudate8,-0.1262813951967627,0.1262813951967627,spearman,0
ma4,exudate2,-0.12476002173900272,0.12476002173900272,spearman,0
ma3,exudate2,-0.12445159647896,0.12445159647896,spearman,0
opticdisc_diameter,am_fm_classification,-0.12294914092343345,0.12294914092343345,spearman,0
ma4,exudate8,-0.12033478636106894,0.12033478636106894,spearman,0
ma6,exudate3,-0.1185876156404764,0.1185876156404764,spearman,0
exudate3,macula_opticdisc_distance,-0.11796253073478569,0.11796253073478569,spearman,0
ma2,exudate2,-0.11694590985640044,0.11694590985640044,spearman,0
exudate7,opticdisc_diameter,-0.11693714747819389,0.11693714747819389,spearman,0
exudate8,opticdisc_diameter,-0.11683531011123693,0.11683531011123693,spearman,0
ma1,exudate2,-0.11613550044809459,0.11613550044809459,spearman,0
exudate2,opticdisc_diameter,-0.11580033344862964,0.11580033344862964,spearman,0
ma3,exudate8,-0.11510416562695977,0.11510416562695977,spearman,0
ma2,exudate8,-0.11140960612143454,0.11140960612143454,spearman,0
quality,exudate5,0.11131899939817305,0.11131899939817305,spearman,0
exudate5,opticdisc_diameter,-0.11051432609133316,0.11051432609133316,spearman,0
ma1,exudate8,-0.10978755592232738,0.10978755592232738,spearman,0
ma6,exudate5,0.10652702261537053,0.10652702261537053,spearman,0
pre_screening,exudate6,0.10652296394369351,0.10652296394369351,spearman,0
exudate6,opticdisc_diameter,-0.10461113185160516,0.10461113185160516,spearman,0
exudate8,macula_opticdisc_distance,-0.10335098652843179,0.10335098652843179,spearman,0
ma5,exudate3,-0.10330727875716648,0.10330727875716648,spearman,0
ma6,exudate7,-0.09415599559090074,0.09415599559090074,spearman,0
ma5,exudate7,-0.09242922989708649,0.09242922989708649,spearman,0
pre_screening,exudate7,0.08867511839628653,0.08867511839628653,spearman,0
exudate5,am_fm_classification,0.08808477306159546,0.08808477306159546,spearman,0
ma4,exudate7,-0.08716000869361487,0.08716000869361487,spearman,0
ma4,exudate3,-0.08597479524886603,0.08597479524886603,spearman,0
ma3,exudate3,-0.08579046603798351,0.08579046603798351,spearman,0
pre_screening,exudate1,0.08318706382091144,0.08318706382091144,spearman,0
quality,am_fm_classification,-0.08238721226228322,0.08238721226228322,spearman,0
quality,exudate6,0.08143842586726403,0.08143842586726403,spearman,0
ma3,exudate7,-0.07897905647622741,0.07897905647622741,spearman,0
ma2,exudate3,-0.07811397273282776,0.07811397273282776,spearman,0
pre_screening,exudate3,0.07769828883984434,0.07769828883984434,spearman,0
ma1,exudate3,-0.07664225190108682,0.07664225190108682,spearman,0
exudate7,macula_opticdisc_distance,-0.07536470035531663,0.07536470035531663,spearman,0
ma2,exudate7,-0.07458918164293957,0.07458918164293957,spearman,0
ma1,exudate7,-0.0726625821160773,0.0726625821160773,spearman,0
quality,opticdisc_diameter,-0.06608618042237122,0.06608618042237122,spearman,0
pre_screening,exudate8,0.06272728843012776,0.06272728843012776,spearman,0
quality,exudate7,0.062418467287688954,0.062418467287688954,spearman,0
pre_screening,exudate5,0.057843941006192584,0.057843941006192584,spearman,0
exudate6,macula_opticdisc_distance,-0.056536970719099376,0.056536970719099376,spearman,0
exudate5,macula_opticdisc_distance,-0.056097816322167364,0.056097816322167364,spearman,0
macula_opticdisc_distance,am_fm_classification,-0.05556824138575853,0.05556824138575853,spearman,0
quality,exudate8,0.055055274759544935,0.055055274759544935,spearman,0
pre_screening,exudate2,0.05203363822592009,0.05203363822592009,spearman,0
ma1,exudate6,0.03754063229657444,0.03754063229657444,spearman,0
ma6,opticdisc_diameter,0.03637342382643598,0.03637342382643598,spearman,0
quality,ma5,0.036251144360888644,0.036251144360888644,spearman,0
quality,ma6,0.034998122906665714,0.034998122906665714,spearman,0
ma2,exudate6,0.034926375292635016,0.034926375292635016,spearman,0
quality,macula_opticdisc_distance,-0.03449659472727754,0.03449659472727754,spearman,0
quality,ma4,0.03421428545440591,0.03421428545440591,spearman,0
ma5,opticdisc_diameter,0.03188069884750468,0.03188069884750468,spearman,0
ma3,opticdisc_diameter,0.03180926028152316,0.03180926028152316,spearman,0
ma1,opticdisc_diameter,0.030862547039276374,0.030862547039276374,spearman,0
ma2,opticdisc_diameter,0.029268624025998214,0.029268624025998214,spearman,0
quality,ma2,0.02801049903285421,0.02801049903285421,spearman,0
ma3,exudate6,0.027330352075718507,0.027330352075718507,spearman,0
quality,pre_screening,-0.0259331090953784,0.0259331090953784,spearman,0
quality,ma1,0.024811830961016832,0.024811830961016832,spearman,0
ma4,opticdisc_diameter,0.024335219517686697,0.024335219517686697,spearman,0
quality,ma3,0.024327346242742135,0.024327346242742135,spearman,0
ma4,exudate6,0.01980417708843032,0.01980417708843032,spearman,0
ma6,macula_opticdisc_distance,-0.012953344332435782,0.012953344332435782,spearman,0
ma6,exudate6,-0.008492208612677594,0.008492208612677594,spearman,0
ma5,macula_opticdisc_distance,-0.00769361649168356,0.00769361649168356,spearman,0
pre_screening,ma5,-0.007048619672422644,0.007048619672422644,spearman,0
pre_screening,ma2,0.00474824731454984,0.00474824731454984,spearman,0
ma5,exudate6,0.004667090552946257,0.004667090552946257,spearman,0
pre_screening,ma6,-0.004230023299753462,0.004230023299753462,spearman,0
pre_screening,ma1,0.0036353420691794635,0.0036353420691794635,spearman,0
ma3,macula_opticdisc_distance,-0.003319544932686838,0.003319544932686838,spearman,0
pre_screening,ma4,-0.0033015899497034775,0.0033015899497034775,spearman,0
ma2,macula_opticdisc_distance,-0.002530471855422208,0.002530471855422208,spearman,0
pre_screening,ma3,0.0013354384422516383,0.0013354384422516383,spearman,0
ma1,macula_opticdisc_distance,0.00075621632141119,0.00075621632141119,spearman,0
ma4,macula_opticdisc_distance,-0.0005706232918035805,0.0005706232918035805,spearman,0
pre_screening,macula_opticdisc_distance,-7.417483388572273e-05,7.417483388572273e-05,spearman,0
pre_screening,am_fm_classification,4.504661129296986e-05,4.504661129296986e-05,spearman,0
