,missing,unique_values,constant,largest_value_share,near_constant_ge_95pct,iqr_outlier_count,iqr_outlier_percent,minimum,maximum
quality,0,2,False,0.996524761077324,True,4,0.3475238922675934,0.0,1.0
pre_screening,0,2,False,0.9183318853171155,False,94,8.166811468288445,0.0,1.0
ma1,0,110,False,0.03214596003475239,False,7,0.6081668114682884,1.0,151.0
ma2,0,104,False,0.030408340573414423,False,6,0.5212858384013901,1.0,132.0
ma3,0,99,False,0.03388357949609035,False,4,0.3475238922675934,1.0,120.0
ma4,0,91,False,0.03127715030408341,False,1,0.08688097306689835,1.0,105.0
ma5,0,84,False,0.035621198957428324,False,1,0.08688097306689835,1.0,97.0
ma6,0,69,False,0.04778453518679409,False,3,0.26064291920069504,1.0,89.0
exudate1,0,1141,False,0.0017376194613379669,False,60,5.212858384013901,0.349274,403.939108
exudate2,0,1141,False,0.0017376194613379669,False,57,4.9522154648132055,0.0,167.131427
exudate3,0,1130,False,0.010425716768027803,False,76,6.602953953084275,0.0,106.070092
exudate5,0,795,False,0.2893136403127715,False,183,15.899218071242398,0.0,51.423208
exudate6,0,579,False,0.46568201563857514,False,204,17.723718505647263,0.0,20.098605
exudate7,0,415,False,0.6055603822762815,False,226,19.635099913119028,0.0,5.937799
exudate8,0,351,False,0.6663770634231103,False,180,15.638575152041703,0.0,3.086753
macula_opticdisc_distance,0,1132,False,0.0017376194613379669,False,4,0.3475238922675934,0.367762,0.592217
opticdisc_diameter,0,1110,False,0.0026064291920069507,False,14,1.2163336229365769,0.057906,0.219199
am_fm_classification,0,2,False,0.6637706342311034,False,0,0.0,0.0,1.0
