feature,dependence_score,dependence_group,selection_source
quality,0.03195192252582047,LOW_DEPENDENCE,training_data_only
pre_screening,0.03806461955322377,LOW_DEPENDENCE,training_data_only
macula_opticdisc_distance,0.040795096379179184,LOW_DEPENDENCE,training_data_only
opticdisc_diameter,0.05046392879799563,LOW_DEPENDENCE,training_data_only
exudate8,0.16475657168706234,LOW_DEPENDENCE,training_data_only
am_fm_classification,0.1717356627970712,LOW_DEPENDENCE,training_data_only
exudate7,0.18143351247589454,MEDIUM_DEPENDENCE,training_data_only
exudate6,0.19110075649507863,MEDIUM_DEPENDENCE,training_data_only
exudate5,0.19419984734709536,MEDIUM_DEPENDENCE,training_data_only
exudate2,0.2060457083353001,MEDIUM_DEPENDENCE,training_data_only
exudate3,0.20832955258498664,MEDIUM_DEPENDENCE,training_data_only
exudate1,0.24498238600577124,MEDIUM_DEPENDENCE,training_data_only
ma6,0.3039630719309983,HIGH_DEPENDENCE,training_data_only
ma5,0.32018810631261446,HIGH_DEPENDENCE,training_data_only
ma1,0.32719216559259584,HIGH_DEPENDENCE,training_data_only
ma4,0.32778308070748097,HIGH_DEPENDENCE,training_data_only
ma2,0.3315642427930224,HIGH_DEPENDENCE,training_data_only
ma3,0.33342794637400947,HIGH_DEPENDENCE,training_data_only
