,count,mean,median,std,variance,minimum,maximum,range,q1,q3,iqr,skewness,kurtosis
quality,1151,0.996524761077324,1.0,0.05887421406700972,0.0034661730820080847,0.0,1.0,1.0,1.0,1.0,0.0,-16.896668323298144,283.9908662071777
pre_screening,1151,0.9183318853171155,1.0,0.2739774621321169,0.07506364975635553,0.0,1.0,1.0,1.0,1.0,0.0,-3.059084122892143,7.370800314403326
ma1,1151,38.42832319721981,35.0,25.620912597257778,656.4311623163222,1.0,151.0,150.0,16.0,55.0,39.0,0.743916036680781,0.3337559224287654
ma2,1151,36.90964378801043,35.0,24.105611884119124,581.0805243077851,1.0,132.0,131.0,16.0,53.0,37.0,0.6251699182986186,-0.09999256952371649
ma3,1151,35.14074717636838,32.0,22.805399798358746,520.0862599629811,1.0,120.0,119.0,15.0,51.0,36.0,0.5326732552759994,-0.4681925338883386
ma4,1151,32.29713292788879,29.0,21.114766737557044,445.8333743814453,1.0,105.0,104.0,14.0,48.0,34.0,0.49847437734301314,-0.6731642407356784
ma5,1151,28.747176368375325,25.0,19.50922698807786,380.6099376723455,1.0,97.0,96.0,11.0,43.0,32.0,0.5332479472107279,-0.6926183169871294
ma6,1151,21.151172893136405,18.0,15.101560412222144,228.05712688399504,1.0,89.0,88.0,8.0,32.0,24.0,0.722383922703923,-0.10234886245623098
exudate1,1151,64.09667431885318,44.249119,58.485289269594126,3420.5290609481017,0.349274,403.939108,403.589834,22.271597,87.8041115,65.5325145,1.6467576386284015,2.9744314662124984
exudate2,1151,23.088012489139878,17.03802,21.60269564853206,466.67645928310594,0.0,167.131427,167.131427,7.9393145,31.305692,23.3663775,2.1352734053976943,7.141067377838736
exudate3,1151,8.704610312771504,4.423472,11.567589443913006,133.8091255429276,0.0,106.070092,106.070092,1.24905,11.76688,10.51783,2.957648107785803,13.350811760567916
exudate5,1151,0.5607381155516943,0.022248,2.4841112449283442,6.170808677179448,0.0,51.423208,51.423208,0.0,0.19195299999999998,0.19195299999999998,11.964312867386477,194.9922511193038
exudate6,1151,0.21228990182450044,0.001554,1.0571257409448065,1.117514832168106,0.0,20.098605,20.098605,0.0,0.0384505,0.0384505,11.526712699562545,172.50455877569394
exudate7,1151,0.08567413987836664,0.0,0.3987172748026356,0.15897546522604042,0.0,5.937799,5.937799,0.0,0.0048319999999999995,0.0048319999999999995,8.316156766196315,87.81415462389329
exudate8,1151,0.03722513640312771,0.0,0.17895893290191658,0.03202629966539268,0.0,3.086753,3.086753,0.0,0.003851,0.003851,9.232701948475935,113.39389648018577
macula_opticdisc_distance,1151,0.5232122467419635,0.523308,0.028055354262537066,0.0007871029027964568,0.367762,0.592217,0.22445500000000002,0.502855,0.5436695,0.040814499999999976,-0.19074072288492377,0.22757896072972317
opticdisc_diameter,1151,0.10843130147697655,0.106623,0.017944849481152148,0.0003220176229012065,0.057906,0.219199,0.16129300000000002,0.095799,0.119591,0.023792000000000008,0.7927730560558661,1.944832022208431
am_fm_classification,1151,0.3362293657688966,0.0,0.472623791418886,0.22337324821516266,0.0,1.0,1.0,0.0,1.0,1.0,0.6942337799656935,-1.5206848562994275
