,count,mean,median,std,variance,minimum,maximum,range,q1,q3,iqr,skewness,kurtosis
quality,540,0.9925925925925926,1.0,0.0858264457772208,0.007366178794750223,0.0,1.0,1.0,1.0,1.0,0.0,-11.521478894860314,131.2305044268388
pre_screening,540,0.9407407407407408,1.0,0.23632821938904952,0.05585102727959872,0.0,1.0,1.0,1.0,1.0,0.0,-3.74376943472737,12.060464531525414
ma1,540,30.45740740740741,25.0,20.74315142229673,430.2783309283309,1.0,99.0,98.0,13.0,47.0,34.0,0.5988597416739966,-0.45135900857659683
ma2,540,30.083333333333332,25.0,20.472944724127498,419.14146567718,1.0,98.0,97.0,13.0,47.0,34.0,0.5871097096127409,-0.48298131371222697
ma3,540,29.45,24.0,20.182729717501587,407.34257884972163,1.0,92.0,91.0,13.0,46.0,33.0,0.5820290165038327,-0.5405441574927874
ma4,540,27.862962962962964,22.0,19.32112474299653,373.30586133443273,1.0,89.0,88.0,11.0,44.0,33.0,0.5927821063132575,-0.5635376569260884
ma5,540,25.394444444444446,20.0,18.317493860335766,335.53058132343847,1.0,86.0,85.0,10.0,40.0,30.0,0.6384407478285045,-0.5011145981268061
ma6,540,19.098148148148148,15.0,14.257231225043538,203.26864220435647,1.0,77.0,76.0,7.0,30.0,23.0,0.7730409270475447,0.011385523856423774
exudate1,540,60.48905578148148,47.577434,50.76545630769961,2577.1315541289578,0.349274,403.939108,403.589834,25.679872,78.576105,52.896232999999995,2.037487442300669,6.661081386742236
exudate2,540,23.077008353703704,18.9880365,19.719092734291127,388.84261826357306,0.0,162.69521,162.69521,8.71140425,31.68232425,22.97092,2.067468489035608,7.975876553078104
exudate3,540,8.233778357407408,4.5763055,10.56541415028182,111.62797616697532,0.0,106.070092,106.070092,1.3470472500000001,11.79293975,10.4458925,3.4356456025646005,20.774693528337096
exudate5,540,0.1849629314814815,0.0114465,0.5554914337711074,0.30857073299308063,0.0,6.620885,6.620885,0.0,0.109052,0.109052,6.000923392142841,48.024303473173525
exudate6,540,0.042090724074074076,0.0,0.15629651244925274,0.024428599803799418,0.0,1.536792,1.536792,0.0,0.00924225,0.00924225,6.109642051260378,42.61327751257321
exudate7,540,0.0073426444444444445,0.0,0.034525195299960766,0.0011919891105004329,0.0,0.510892,0.510892,0.0,0.0029075,0.0029075,9.019545289198781,104.02263530855467
exudate8,540,0.0034864222222222223,0.0,0.015752044401857658,0.00024812690283809524,0.0,0.185514,0.185514,0.0,0.000973,0.000973,7.452041569259765,62.781371028312314
macula_opticdisc_distance,540,0.5229596981481481,0.5231975,0.028510150578144863,0.0008128286859884939,0.418117,0.592217,0.17409999999999998,0.5009985,0.5435325,0.04253399999999996,-0.1245919213146422,-0.23759875100177963
opticdisc_diameter,540,0.10902025185185185,0.1074055,0.0175651011226912,0.0003085327774503676,0.071071,0.194211,0.12314,0.09673725,0.12008175,0.023344500000000004,0.873381836541609,1.868747460266166
am_fm_classification,540,0.3574074074074074,0.0,0.4796805723833549,0.23009345152202296,0.0,1.0,1.0,0.0,1.0,1.0,0.5967416018906172,-1.6500244471876064
