kernel,pair_type,similarity
Linear,Different class,-4.306034756385826
Linear,Different class,3.6387310225822933
Linear,Different class,19.713999451332135
Linear,Same class,2.576161681965888
Linear,Different class,1.9994233911058235
Linear,Same class,-11.169397007888726
Linear,Different class,8.502886669517629
Linear,Different class,7.614573855115915
Linear,Same class,-1.0308521763205698
Linear,Same class,5.519847004465724
Linear,Same class,-3.101462877842775
Linear,Different class,-1.1622319369853973
Linear,Different class,-7.685047398785705
Linear,Same class,-7.8964746942299495
Linear,Same class,4.950901210266912
Linear,Same class,-6.282801343043894
Linear,Same class,-10.092992808189393
Linear,Same class,-10.537606050902488
Linear,Same class,4.666663904584229
Linear,Different class,21.86857997244178
Linear,Same class,0.35871901113006466
Linear,Different class,-12.475703423387326
Linear,Same class,17.81954558953487
Linear,Different class,2.333286039263926
Linear,Different class,2.525517111160307
Linear,Different class,-3.2088084011806415
Linear,Same class,5.643430636082701
Linear,Same class,-2.2218261191165034
Linear,Same class,-13.748099334834947
Linear,Different class,12.271012167866841
Linear,Different class,5.790029357549911
Linear,Same class,8.908839222047513
Linear,Different class,7.974560039540528
Linear,Different class,-2.2898537953618403
Linear,Same class,-3.7856635521995163
Linear,Same class,10.232211141001363
Linear,Different class,-6.803592857065424
Linear,Different class,-1.4651272063050678
Linear,Same class,-3.6290462279021902
Linear,Different class,-1.1346232344291134
Linear,Different class,-0.32438186619387155
Linear,Same class,5.277607368839547
Linear,Different class,-5.961575062058577
Linear,Same class,1.9713793420277241
Linear,Different class,-2.064900732164519
Linear,Different class,-0.8444392101839765
Linear,Different class,-13.360248503168924
Linear,Different class,-2.6057457831158573
Linear,Same class,1.1222827117401601
Linear,Same class,-9.10644271250052
Linear,Same class,-9.887699587046166
Linear,Same class,1.3555133552893037
Linear,Different class,-5.710768675484178
Linear,Different class,-7.504704356778758
Linear,Different class,1.0233947229551597
Linear,Different class,-8.088387556126719
Linear,Different class,2.832781327573842
Linear,Different class,-2.262077201518781
Linear,Same class,0.909583733544967
Linear,Same class,-1.1018292579607263
Linear,Different class,-3.128108893015759
Linear,Different class,0.5927861767166498
Linear,Different class,6.037183467330983
Linear,Different class,-5.6927453021322085
Linear,Different class,-19.854263465811737
Linear,Same class,1.014372049049656
Linear,Same class,-4.660918915710337
Linear,Different class,26.013531238413968
Linear,Different class,1.7529704013804563
Linear,Same class,4.0155257286426025
Linear,Same class,-5.2234994621693795
Linear,Same class,1.5482944353628432
Linear,Different class,1.5772276878482605
Linear,Same class,-1.6580089946375403
Linear,Different class,3.1529237784950044
Linear,Same class,1.9534690021354952
Linear,Different class,-0.781789695842145
Linear,Different class,0.513793449115869
Linear,Same class,0.5762762413391356
Linear,Different class,-16.37665767093905
Linear,Different class,0.585386587055861
Linear,Same class,2.4795024328901705
Linear,Different class,-13.706622219968196
Linear,Different class,6.622866833087619
Linear,Different class,11.801237933484167
Linear,Different class,-1.8673296232185703
Linear,Different class,2.5352248553114722
Linear,Same class,3.5920950890483994
Linear,Same class,-3.0823485864277993
Linear,Same class,0.7757947655003451
Linear,Same class,-9.419115359042875
Linear,Same class,0.39015150546147215
Linear,Same class,6.230924322384599
Linear,Different class,-6.166667172335468
Linear,Same class,-0.4740478320549615
Linear,Same class,-2.890151499780821
Linear,Same class,-2.7604161227954673
Linear,Different class,-0.5251509313068423
Linear,Different class,-0.7920653858802685
Linear,Different class,1.2155841703638932
Linear,Same class,-1.8166765475110465
Linear,Different class,1.4809891543663547
Linear,Different class,-0.9960869980962573
Linear,Same class,6.575031270638713
Linear,Different class,0.6390317404371204
Linear,Same class,2.9571839086624023
Linear,Same class,-6.347859712524793
Linear,Different class,-16.957154931027194
Linear,Different class,6.632363301271643
Linear,Same class,-1.516782233146893
Linear,Same class,11.926366619586172
Linear,Same class,7.2719136666498105
Linear,Same class,9.779605446507276
Linear,Same class,-7.635613210439246
Linear,Same class,0.4289852200282604
Linear,Different class,1.1366110513395413
Linear,Same class,-3.814894401497598
Linear,Same class,-0.6448492511291751
Linear,Different class,1.7119659617400178
Linear,Same class,5.825369833260998
Linear,Same class,-11.112272705821884
Linear,Different class,1.0747835824381509
Linear,Different class,6.601859972145685
Linear,Different class,-6.904703974896178
Linear,Different class,-4.340113084410124
Linear,Same class,1.1290679604502978
Linear,Different class,5.172824614191474
Linear,Different class,-4.3044076392571995
Linear,Same class,-3.4628605000496946
Linear,Different class,-18.45364816870834
Linear,Different class,-1.2874634162607437
Linear,Different class,12.41302615185344
Linear,Same class,6.161213076257688
Linear,Different class,-9.757152981730881
Linear,Same class,8.067036734567353
Linear,Same class,0.534663505973845
Linear,Different class,9.627101795576586
