feature,mutual_information
exudate7,0.06960601446455361
ma1,0.06478084961251973
ma2,0.05829615695288437
exudate8,0.05291081396582853
ma5,0.027427308959911523
exudate6,0.026994516701561944
ma3,0.023163109991269026
ma6,0.020013446011883262
exudate1,0.015103717059467003
exudate5,0.013558730183597545
ma4,0.009244553056034555
macula_opticdisc_distance,0.00889839247498636
pre_screening,0.008585898839114314
quality,0.004991278501367713
exudate2,0.0026163246032444576
exudate3,0.0
opticdisc_diameter,0.0
am_fm_classification,0.0
