feature_1,feature_2,value,absolute_value,method,class
ma1,ma2,0.9959582460485443,0.9959582460485443,pearson,all
ma2,ma3,0.9950902459873154,0.9950902459873154,pearson,all
ma3,ma4,0.9920572668174706,0.9920572668174706,pearson,all
ma4,ma5,0.9884585337149938,0.9884585337149938,pearson,all
ma1,ma3,0.9862704123291643,0.9862704123291643,pearson,all
ma2,ma4,0.9789897389684252,0.9789897389684252,pearson,all
ma5,ma6,0.974302026263588,0.974302026263588,pearson,all
ma3,ma5,0.9693593504061264,0.9693593504061264,pearson,all
ma1,ma4,0.9647100333971507,0.9647100333971507,pearson,all
ma4,ma6,0.9478946779999337,0.9478946779999337,pearson,all
ma2,ma5,0.9478620315372333,0.9478620315372333,pearson,all
exudate7,exudate8,0.9424178085992223,0.9424178085992223,pearson,all
exudate5,exudate6,0.9339525353391102,0.9339525353391102,pearson,all
ma1,ma5,0.9279078006951977,0.9279078006951977,pearson,all
exudate2,exudate3,0.9242627099702982,0.9242627099702982,pearson,all
ma3,ma6,0.9170815703775682,0.9170815703775682,pearson,all
exudate6,exudate7,0.9113732146181588,0.9113732146181588,pearson,all
ma2,ma6,0.8877619954817565,0.8877619954817565,pearson,all
ma1,ma6,0.863087377645104,0.863087377645104,pearson,all
exudate6,exudate8,0.7864934279267795,0.7864934279267795,pearson,all
exudate5,exudate7,0.7798328277387798,0.7798328277387798,pearson,all
exudate1,exudate2,0.776306158841576,0.776306158841576,pearson,all
exudate1,exudate3,0.767524223408331,0.767524223408331,pearson,all
ma1,ma2,0.9973656226097056,0.9973656226097056,spearman,all
ma2,ma3,0.9963737238111349,0.9963737238111349,spearman,all
ma3,ma4,0.9942717765128929,0.9942717765128929,spearman,all
ma1,ma3,0.9912668746646434,0.9912668746646434,spearman,all
ma4,ma5,0.9910795615438671,0.9910795615438671,spearman,all
ma2,ma4,0.9859774717451768,0.9859774717451768,spearman,all
ma5,ma6,0.9808133332347012,0.9808133332347012,spearman,all
ma3,ma5,0.9789261364970973,0.9789261364970973,spearman,all
ma1,ma4,0.9780174630522547,0.9780174630522547,spearman,all
ma2,ma5,0.9664252628289323,0.9664252628289323,spearman,all
ma4,ma6,0.9648640658365916,0.9648640658365916,spearman,all
ma1,ma5,0.9559724420169847,0.9559724420169847,spearman,all
ma3,ma6,0.9464944046438177,0.9464944046438177,spearman,all
ma2,ma6,0.9296959244969508,0.9296959244969508,spearman,all
exudate2,exudate3,0.9249343682976847,0.9249343682976847,spearman,all
ma1,ma6,0.9171403185218729,0.9171403185218729,spearman,all
exudate7,exudate8,0.9063031382902684,0.9063031382902684,spearman,all
exudate1,exudate3,0.880577916511137,0.880577916511137,spearman,all
exudate1,exudate2,0.8750608148687329,0.8750608148687329,spearman,all
exudate5,exudate6,0.8358572161353616,0.8358572161353616,spearman,all
exudate6,exudate7,0.8332780867166064,0.8332780867166064,spearman,all
exudate6,exudate8,0.7341198009873152,0.7341198009873152,spearman,all
